nombre_cientifico
Amphiprion ocellaris
Paracanthurus hepatus
Pomacanthus imperator
Pterois volitans
Diodon holocanthus
Diodon hystrix
Cheilinus undulatus
Mola mola
Hippocampus hippocampus
Hippocampus guttulatus
Aulostomus strigosus
Scarus ghobban
Ostracion cubicus
Synanceia verrucosa
Pristis pectinata
Heteroconger longissimus
Rhinomuraena quaesita
Sparisoma cretense
Mycteroperca fusca
Abudefduf luridus
Chromis limbata
Heteropriacanthus cruentatus
Muraena augusti
Sphoeroides marmoratus
Macroramphosus scolopax
Aurelia aurita
Cotylorhiza tuberculata
Chrysaora hysoscella
Chrysaora fuscescens
Pelagia noctiluca
Cyanea capillata
Stomolophus meleagris
Cassiopea andromeda
Aequorea victoria
Phyllorhiza punctata
Physalia physalis
Rhizostoma pulmo
Homarus gammarus
Palinurus elephas
Maja squinado
Cancer pagurus
Necora puber
Macrocheira kaempferi
Limulus polyphemus
Pagurus bernhardus
Lysmata amboinensis
Odontodactylus scyllarus
Pollicipes pollicipes
Grapsus adscensionis
Balistes capriscus
Dactylopterus volitans
Enchelycore anatina
Aetomylaeus bovinus
Apogon imberbis
Atherina boyeri
Bodianus scrofa
Bothus podas
Canthigaster capistrata
Capros aper
Coryphaena hippurus
Dicentrarchus labrax
Dicentrarchus punctatus
Diplodus annularis
Diplodus puntazzo
Echiichthys vipera
Epinephelus itajara
Euthynnus alletteratus
Exocoetus volitans
Gobius niger
Gobius paganellus
Gymnothorax unicolor
Kyphosus sectatrix
Labrus merula
Labrus mixtus
Lophius budegassa
Lophius piscatorius
Lithognathus mormyrus
